experiment_name,model_type,accuracy,macro_f1,weighted_f1,loss,scene_accuracy,joint_accuracy,training_time,avg_test_time_per_sample,target_modality,noise_ratio,missing_modalities,status,notes,use_reliability_gate,use_modality_dropout,ablation_variant
improved_missing_imu,ReliabilityGatedMultimodalModel,0.9811827956989247,0.980757559311527,0.9810144811481284,0.08357775073137975,0.49193548387096775,0.0,5.4844,0.000201,none,none,imu,completed,,True,True,none
improved_missing_gesture,ReliabilityGatedMultimodalModel,0.9798387096774194,0.9790621258851294,0.9796231355729618,0.09141574262250815,0.38306451612903225,0.0,4.3299,0.000194,none,none,gesture,completed,,True,True,none
improved_missing_audio,ReliabilityGatedMultimodalModel,0.9811827956989247,0.9807594450131263,0.9809992962334007,0.08263750963153378,0.478494623655914,0.0,4.2317,0.000186,none,none,audio,completed,,True,True,none
improved_missing_text,ReliabilityGatedMultimodalModel,0.23521505376344087,0.1737110947416981,0.18456361653137898,4.188226951065884,0.45161290322580644,0.0,4.3056,0.000184,none,none,text,completed,,True,True,none
improved_missing_scene,ReliabilityGatedMultimodalModel,0.9717741935483871,0.9701722613103333,0.9713333398627064,0.11511424022616558,0.49193548387096775,0.0,1.5938,0.000171,none,none,scene,completed,,True,True,none
improved_missing_imu_gesture,ReliabilityGatedMultimodalModel,0.967741935483871,0.9653195181503788,0.9669518703948194,0.10833927424203965,0.44086021505376344,0.0,4.0642,0.000191,none,none,imu+gesture,completed,,True,True,none
improved_missing_imu_audio,ReliabilityGatedMultimodalModel,0.9475806451612904,0.9435380588658012,0.9460665775895317,0.17108100392324951,0.4771505376344086,0.0,3.6964,0.000196,none,none,imu+audio,completed,,True,True,none
improved_missing_imu_text,ReliabilityGatedMultimodalModel,0.2567204301075269,0.19306939021184033,0.19983253199306583,3.8474279167831584,0.6196236559139785,0.0,4.5298,0.000193,none,none,imu+text,completed,,True,True,none
improved_missing_imu_scene,ReliabilityGatedMultimodalModel,0.9529569892473119,0.9488680271222902,0.9516575632720247,0.13753452907086058,0.43548387096774194,0.0,4.3886,0.000204,none,none,imu+scene,completed,,True,True,none
improved_missing_gesture_audio,ReliabilityGatedMultimodalModel,0.9838709677419355,0.983503201685394,0.9837565135111681,0.05963406456454146,0.39919354838709675,0.0,2.5113,0.00019,none,none,gesture+audio,completed,,True,True,none
improved_missing_gesture_text,ReliabilityGatedMultimodalModel,0.2620967741935484,0.22026865146482053,0.2285443003602543,3.3814579491974204,0.32526881720430106,0.0,1.5768,0.000166,none,none,gesture+text,completed,,True,True,none
improved_missing_gesture_scene,ReliabilityGatedMultimodalModel,0.9852150537634409,0.9845268916526981,0.9851601746481593,0.04532194299803626,0.4368279569892473,0.0,2.2369,0.000166,none,none,gesture+scene,completed,,True,True,none
improved_missing_audio_text,ReliabilityGatedMultimodalModel,0.21908602150537634,0.1848219484993371,0.19162990835098556,4.2506040398792555,0.4274193548387097,0.0,1.5655,0.000165,none,none,audio+text,completed,,True,True,none
improved_missing_audio_scene,ReliabilityGatedMultimodalModel,0.9798387096774194,0.9788864551980695,0.9796774641786458,0.10112439254198664,0.41397849462365593,0.0,1.5725,0.000169,none,none,audio+scene,completed,,True,True,none
improved_missing_text_scene,ReliabilityGatedMultimodalModel,0.16666666666666666,0.12441411588384621,0.13373594291952526,4.039445513038225,0.396505376344086,0.0,1.5987,0.000184,none,none,text+scene,completed,,True,True,none
