experiment_name,model_type,accuracy,macro_f1,weighted_f1,loss,scene_accuracy,joint_accuracy,training_time,avg_test_time_per_sample,target_modality,noise_ratio,missing_modalities,status,notes
missing_modality_baseline_imu,baseline,0.9475806451612904,0.9432303811464231,0.9460615126975093,0.15487644517974508,0.5201612903225806,0.0,3.5541,0.000185,none,none,imu,completed,
missing_modality_baseline_gesture,baseline,0.9825268817204301,0.9820306361052079,0.9824002073887215,0.09069844401912183,0.5389784946236559,0.0,2.9399,0.00018,none,none,gesture,completed,
missing_modality_baseline_audio,baseline,0.9717741935483871,0.969874882713576,0.971278200036465,0.09045554506241955,0.47580645161290325,0.0,3.0645,0.000179,none,none,audio,completed,
missing_modality_baseline_text,baseline,0.21370967741935484,0.17996790607528276,0.18461666123992324,3.9595778578071186,0.24327956989247312,0.0,3.1372,0.000178,none,none,text,completed,
missing_modality_baseline_scene,baseline,0.956989247311828,0.9522612583816157,0.9552135394708516,0.13805061980320882,0.5336021505376344,0.0,3.1465,0.000188,none,none,scene,completed,
missing_modality_baseline_imu_gesture,baseline,0.9838709677419355,0.9834888854607978,0.983760063022481,0.07313693138540432,0.5349462365591398,0.0,3.1808,0.000175,none,none,imu+gesture,completed,
missing_modality_baseline_imu_audio,baseline,0.9838709677419355,0.982771803162362,0.983715416254788,0.07920179823513633,0.5336021505376344,0.0,3.215,0.000189,none,none,imu+audio,completed,
missing_modality_baseline_imu_text,baseline,0.22580645161290322,0.18257048952315888,0.19169517064915625,3.594811137004565,0.34543010752688175,0.0,3.1188,0.000174,none,none,imu+text,completed,
missing_modality_baseline_imu_scene,baseline,0.9260752688172043,0.9207969135983013,0.9262822905256582,0.19887415343715298,0.5336021505376344,0.0,3.2441,0.000175,none,none,imu+scene,completed,
missing_modality_baseline_gesture_audio,baseline,0.9650537634408602,0.9619162772436284,0.9641676377709175,0.13513232109647605,0.532258064516129,0.0,3.08,0.000173,none,none,gesture+audio,completed,
missing_modality_baseline_gesture_text,baseline,0.18951612903225806,0.14189626519580437,0.15055282809675555,4.330567636797505,0.4153225806451613,0.0,3.137,0.000174,none,none,gesture+text,completed,
missing_modality_baseline_gesture_scene,baseline,0.9852150537634409,0.9845263371725627,0.985165268726561,0.05267423297208484,0.5255376344086021,0.0,3.1574,0.000194,none,none,gesture+scene,completed,
missing_modality_baseline_audio_text,baseline,0.23387096774193547,0.18619167160498387,0.19417568874467436,4.055560373490857,0.33736559139784944,0.0,3.1557,0.000175,none,none,audio+text,completed,
missing_modality_baseline_audio_scene,baseline,0.9731182795698925,0.9707464034397736,0.9724755403363067,0.13191753866211062,0.478494623655914,0.0,3.3006,0.000166,none,none,audio+scene,completed,
missing_modality_baseline_text_scene,baseline,0.24059139784946237,0.258212377569813,0.2591067024363628,2.878968115775816,0.26344086021505375,0.0,3.153,0.000176,none,none,text+scene,completed,
