experiment_name,model_type,accuracy,macro_f1,weighted_f1,loss,scene_accuracy,joint_accuracy,training_time,avg_test_time_per_sample,target_modality,noise_ratio,missing_modalities,status,notes,training_time_total_sec,avg_training_time_per_sample_sec,testing_time_total_sec,avg_testing_time_per_sample_sec,sample_count_train,processed_train_sample_visits,sample_count_test,epochs,batch_size,learning_rate,device,seed,best_epoch,best_val_macro_f1,use_reliability_gate,use_modality_dropout,use_text_compression,text_token_count,ablation_variant,ablation_condition
improved_clean,ReliabilityGatedMultimodalModel,0.9811827956989247,0.9809888089512743,0.9810082983131869,0.10586579913093198,0.478494623655914,0.0,2.408,0.000179,none,none,none,completed,,2.407996,0.000507481,0.133295,0.000179159,949,4745,744,5,64,0.001,cuda,42,5,0.7875020511673007,True,True,True,1,none,
improved_missing_text,ReliabilityGatedMultimodalModel,0.29973118279569894,0.23152587639836483,0.23669142999667467,1.9824428917259298,0.26881720430107525,0.0,1.752,0.000152,none,none,text,completed,,1.752006,0.000369232,0.11284,0.000151666,949,4745,744,5,64,0.001,cuda,42,1,0.03812285223367697,True,True,True,1,none,
improved_missing_imu_text,ReliabilityGatedMultimodalModel,0.22580645161290322,0.18413270347761104,0.1915150796476472,3.4771226836789038,0.5591397849462365,0.0,1.7741,0.000158,none,none,imu+text,completed,,1.774055,0.000373879,0.117552,0.000158,949,4745,744,5,64,0.001,cuda,42,3,0.06018518518518518,True,True,True,1,none,
improved_missing_audio_text,ReliabilityGatedMultimodalModel,0.24327956989247312,0.19369098429262335,0.20016267722473335,2.073767033956384,0.42338709677419356,0.0,1.7666,0.000158,none,none,audio+text,completed,,1.766566,0.0003723,0.117476,0.000157897,949,4745,744,5,64,0.001,cuda,42,1,0.010582010582010581,True,True,True,1,none,
term_paper_compression_only,ReliabilityGatedMultimodalModel,0.9825268817204301,0.9815421974233615,0.9823606322298121,0.07885373586047721,0.46908602150537637,0.0,1.6262,0.000199,none,none,none,completed,,1.626236,0.000342726,0.148113,0.000199077,949,4745,744,5,64,0.001,cuda,42,5,0.7973028115982972,False,False,True,1,term_paper_compression_only,clean
term_paper_compression_only_missing_text,ReliabilityGatedMultimodalModel,0.21236559139784947,0.180857097566775,0.18727473843290698,1.9814876484614548,0.34408602150537637,0.0,1.8653,0.000196,none,none,text,completed,,1.865336,0.000393116,0.145774,0.000195933,949,4745,744,5,64,0.001,cuda,42,1,0.01364011455754575,False,False,True,1,term_paper_compression_only,missing_text
term_paper_gate_compression,ReliabilityGatedMultimodalModel,0.9852150537634409,0.9847285982723725,0.9850991205303505,0.09816364238979997,0.5228494623655914,0.0,1.5304,0.000158,none,none,none,completed,,1.530423,0.000322534,0.117573,0.000158028,949,4745,744,5,64,0.001,cuda,42,3,0.794291863086698,True,False,True,1,term_paper_gate_compression,clean
term_paper_gate_compression_missing_text,ReliabilityGatedMultimodalModel,0.1975806451612903,0.15279208702068853,0.16012379351212042,3.5742164324688654,0.5228494623655914,0.0,1.5985,0.000153,none,none,text,completed,,1.598489,0.000336879,0.113768,0.000152914,949,4745,744,5,64,0.001,cuda,42,3,0.03535353535353535,True,False,True,1,term_paper_gate_compression,missing_text
term_paper_compression_dropout,ReliabilityGatedMultimodalModel,0.9717741935483871,0.9700315427099367,0.9716839392833276,0.12684651724593612,0.4314516129032258,0.0,1.4581,0.00015,none,none,none,completed,,1.458119,0.000307296,0.111939,0.000150456,949,4745,744,5,64,0.001,cuda,42,5,0.7963113693419333,False,True,True,1,term_paper_compression_dropout,clean
term_paper_compression_dropout_missing_text,ReliabilityGatedMultimodalModel,0.17876344086021506,0.15713731354201904,0.1605842462820104,3.3044051508749686,0.3763440860215054,0.0,1.4644,0.000145,none,none,text,completed,,1.464385,0.000308616,0.108108,0.000145307,949,4745,744,5,64,0.001,cuda,42,3,0.02936507936507936,False,True,True,1,term_paper_compression_dropout,missing_text
term_paper_proposed,ReliabilityGatedMultimodalModel,0.9811827956989247,0.9809888089512743,0.9810082983131869,0.10586579913093198,0.478494623655914,0.0,1.7436,0.000159,none,none,none,completed,,1.743597,0.00036746,0.118433,0.000159184,949,4745,744,5,64,0.001,cuda,42,5,0.7875020511673007,True,True,True,1,term_paper_proposed,clean
term_paper_proposed_missing_text,ReliabilityGatedMultimodalModel,0.29973118279569894,0.23152587639836483,0.23669142999667467,1.9824428917259298,0.26881720430107525,0.0,1.9091,0.000155,none,none,text,completed,,1.909144,0.000402349,0.1153,0.000154973,949,4745,744,5,64,0.001,cuda,42,1,0.03812285223367697,True,True,True,1,term_paper_proposed,missing_text
